PM25,PM10,NO2,CO,O3,SO2
64,86,86,1.21,39,5
33,45.83333333,43,1.143,57,2
32,32,39,1.123,61,2
26,29,37,1.088,61,2
26,36,42,1.084,53,3
30,50,54,1.097,41,4
25,42,59,1.102,26,2
26,49,57,1.129,26,3
36,60,48,1.121,29,3
34,50,47,1.167,34,2
27,39,37,1.107,48,2
26,38,43,1.112,53,3
23,35,45,1.126,62,2
19,32,35,1.118,79,3
20,46,39,1.135,88,5
19,45,43,1.162,90,4
18,37,40,1.154,99,3
22,35,45,1.18,98,5
22,44,61,1.177,77,6
17,34,52,1.163,87,4
19,41,50,1.151,81,3
22,45,70,1.179,51,7
17,43,61,1.176,57,6
11,17,37,1.136,91,6
11,14,23,1.105,111,5
16,18,20,1.078,111,4
16,18,15,1.066,108,3
17,19,15,1.054,106,3
21,21,15,1.044,102,3
24,27,19,1.033,95,5
24,32,26,1.027,85,8
24,36,32,1.019,78,7
21,37,39,1.04,67,4
22,44,47,1.083,54,3
25,37,42,1.116,63,4
22,37,33,1.114,96,6
22,37,34,1.14,97,7
18,31,29,1.12,125,7
14,35,22,1.061,182,5
10,20,20,1.06,170,5
10,20,20,1.06,170,5
14,32,34,1.042,148,4
14,34,32,1.037,145,4
22,40,40,1.04,132,5
31,54,38,1.056,128,8
31,57,46,1.063,121,13
25,43,41,1.06,136,11
22,35,27,1.05,158,7
26,34,26,1.033,152,10
30,34,33,1.043,134,13
26,40,59,1.086,99,9
30,45,50,1.106,97,6
25,40,66,1.118,75,5
32,61,84,1.166,49,5
41,62,68,1.166,65,6
40,61,59,1.174,76,6
31,40,57,1.139,84,7
23,29,40,1.105,120,9
22,26,27,1.057,144,6
20,34,20,1.006,156,6
19,37,16,0.969,155,5
19,37,17,1,157,6
21,43,15,0.98,170,7
24,44,20,0.941,179,8
24,46,21,0.97,180,8
31,79,26,0.931,192,10
28,69,29,0.916,165,7
33,62,25,0.863,161,4
36,63,22,0.852,156,4
38,50,29,0.85,138,5
43,60,25,0.834,144,6
42,59,25,0.82,141,6
35,46,20,0.819,146,6
35,52,15,0.812,155,4
40,54,14,0.797,156,6
42,53,15,0.784,152,6
42,59,14,0.772,151,6
37,55,11,0.763,155,5
31,52,14,0.756,151,7
25,50,29,0.761,136,8
27,51,37,0.769,127,8
31,61,27,0.814,137,5
33,67,43,0.815,121,6
28,51,42,0.845,120,3
27,39,35,0.85,127,3
32,49,28,0.842,134,3
31,34,24,0.834,140,3
31,41,29,0.838,135,3
30,48,32,0.851,131,2
29,51,40,0.9,121,2
26,36,48,0.949,105,2
31,49,55,0.924,92,2
46,60,50,0.923,93,3
44,55,51,0.903,88,4
39,59,62,0.927,62,3
38,54,52,0.92,74,3
51,51,58,0.921,55,5
63,41.27272727,67,0.972,41,4
55,65,55,1.001,47,4
14,29,19,0.97,111,3
5,10,14,0.961,118,2
6,13,17,0.948,111,2
8,9,21,0.946,97,2
10,18,27,0.947,91,3
9,22,36,0.963,82,3
11,22,31,0.966,96,3
13,32,24,1,114,4
19,29.09090909,26,0.976,126,5
20,39,28,1.054,124,4
21,36,24.71428571,1.029,90.57142857,3.285714286
22,37,1,1.05,1,1
31,45,22.45238095,1.006,91.92857143,3.380952381
33,47,34.88095238,0.991,85.21428571,3.380952381
30,44,37.25595238,1.128,78.83928571,3.130952381
25,35,38.58928571,1.072,71.95039683,2.797619048
20,21,40.18928571,0.992,65.15039683,2.597619048
22,26,41.48798701,0.966,61.73481241,2.480735931
22,23,118,0.939,49,3
22,25,43,0.928,63,2
22,28.85714286,38,0.916,64,2
30,27.35714286,44,0.913,56,2
32,25.91269841,39,0.896,53,2
24,26.61269841,40,0.873,58,2
22,26.97633478,29,0.853,59,3
26,28,23,0.84,60,3
28,32,27,0.834,60,3
21,22,30,0.826,58,3
18,28,36,0.829,50,3
20,30,47.36363636,0.883,51.45454545,2.545454545
20,29,61,0.98,36,2
28,41,67,1.019,35,2
41,37,78,1.024,34,2
41,45,74,1.032,46,2
35,37,56,0.983,70,3
38,40,41,0.921,97,3
42,54,56,0.933,83,5
36,49,65,1.016,73,3
37,47,91,1.019,47,3
38,51,97,1.005,39,5
46,54,94,1.018,39,3
43,51,67,0.918,61,3
31,34,64,0.931,58,2
24,44.42857143,39,0.901,83,2
23,41.80357143,32,0.879,90,4
16,40.91468254,22,0.841,115,3
18,39.91468254,19,0.824,122,5
18,39.36922799,17,0.805,124,3
18,25,13,0.784,138,3
20,28,17,0.768,138,4
25,39,21,0.751,132,5
25,41,27,0.75,124,4
27,48,66,0.806,77,4
26,36,47,0.81,98,3
43,70,68,0.946,53,4
54,78,69,0.96,50,2
39,52,84,0.979,57,2
39,51,87,0.971,59,1
35,40,84,0.959,72,3
42,50.54545455,77,0.985,69,3
43,53,73,1.208,73,2
47,61,88,1.066,52,3
38,46,84,0.997,54,4
25,32,61,0.939,79,6
25,37,63,0.911,75,5
22,35,64,0.902,73,3
25,38,81,0.929,55,4
22,29,59,0.871,74,6
24,39,74,0.908,54,6
27,41,63,0.979,64,3
35,54,82,1.057,42,3
34,53,80,1.079,34,4
47,75,80,1.138,28,5
48,67,75,1.103,24,3
43,67,70,1.142,25,3
42,72,82,1.203,28,5
51,96,93,1.442,30,4
49,96,84,1.433,36,5
12,24,38,1.259,80,3
11,25,31,1.2,90,3
13,25,30,0.999,91,3
15,20,34,0.925,89,2
13,23,33,0.931,97,2
19,32,49,0.885,82,3
12,18,62,0.937,68,2
10,26,61,0.94,77,2
10,19,59,0.929,78,2
10,25,79,0.917,57,3
11,23,84,0.927,47,2
13,26,79,0.928,47,2
9,35,47,0.882,74,1
5,7,38,0.781,93,2
10,20,87,0.87,33,2
12,13,81,0.897,37,2
13,17,85,0.895,29,2
8,18.09090909,41,0.775,64,5
10,15,35,0.728,66,3
6,17,23,0.702,94,2
6,18,29,0.679,99,3
5,15,54,0.695,77,4
5,16,63,0.772,64,2
5,18,73,0.806,47,1
5,13,46,0.827,81,2
5,5,37,0.801,103,2
2,3,37,0.83,104,2
5,13,56,0.804,79,3
