PM25,PM10,NO2,CO,O3,SO2
49,59,10,0.92,86,4
52,48.16666667,12,0.935,64,2
19,37,13,0.946,54,2
7,35,7,0.886,78,2
21,42,6,0.878,78,2
30,49,6,0.881,80,2
45,67,5,0.891,87,2
50,60,10,0.923,76,2
48,54,11,0.948,64,2
32,36,12,0.948,68,2
34,38,15,0.974,56,2
24,26,15,0.976,54,2
13,15,13,0.967,55,2
14,30.81818182,12,0.957,68,2
17,20,13,0.967,77,4
20,20,11,0.955,73,3
17,18,10,0.954,73,2
17,22,11,0.964,76,2
25,30,13,0.986,72,2
10,15,17,0.959,70,2
13,16,10,0.923,81,3
13,16,8,0.918,78,3
12,17,8,0.92,77,3
19,20,7,0.934,73,2
9,12,7,0.938,70,2
17,19,8,0.966,60,3
12,16,7,0.945,54,3
21,23,9,0.947,45,3
22,24,8,0.918,43,3
17,21,7,0.927,45,3
14,22,9,0.963,45,3
17,19,11,0.933,64,3
8,17,8,0.921,85,4
10,15,12,0.925,81,4
11,15,9,0.924,86,4
12,12,10,0.925,86,4
14,20,10,0.97,86,4
17,23,9,0.94,92,4
25,22.8,14,0.931,103,5
22,30,15,1.04,97,4
22,30,15,1.04,97,4
23,25,13,0.926,97,4
38,30.34545455,9,0.906,95,6
40,41,14,0.921,91,5
30,38,14,0.954,100,6
26,42,17,0.988,93,5
14,35,7,0.889,111,5
6,27,6,0.879,113,8
15,28,6,0.881,113,7
9,14,5,0.86,106,4
29,34,6,0.897,108,4
30,34,7,0.904,100,7
23,27,7,0.885,88,6
23,32,6,0.86,93,6
32,36,8,0.895,68,4
36,33.27272727,10,0.925,82,6
2,32,8,0.845,100,6
7,39,8,0.808,107,5
32,49,7,0.817,110,5
28,38,6,0.785,110,6
25,31,5,0.755,115,5
27,33,6,0.79,116,5
25,32,5,0.8,121,6
37.81818182,86,10,0.941,129,7
99,47.72727273,10,0.99,129,7
57,63,6,0.86,115,3
45,52,7,0.736,102,3
44,51,6,0.733,98,2
27,39,5,0.727,100,2
40,51,5,0.741,105,2
38,53,5,0.746,106,4
27,47,5,0.749,106,4
33,57,5,0.77,107,4
18,52,4,0.756,112,4
22,54,4,0.744,110,4
17,50,4,0.737,109,4
39,53,4,0.746,106,4
24,40,4,0.748,107,3
38,40,4,0.758,108,2
36,49,4,0.772,105,3
44,58,5,0.79,107,4
43,56,6,0.815,103,3
43,56,6,0.832,99,3
55,57,8,0.852,98,4
50,51.25,9,0.88,95,3
47,52.65625,8,0.889,94,3
40,41,6,0.879,98,2
56,52.41517857,7,0.879,96,2
51,53,9,0.882,81,2
48,50.66517857,12,0.909,74,2
48,49.87332589,17,1.031,70,2
48,47.84554812,14,0.955,63,2
50,46.07992312,15,1.012,44,2
41,42,10,0.936,56,2
48,56,9,0.955,60,2
47,40.24639757,11,0.952,34,1
30,33,12,0.946,21,2
30,35,13,0.982,27,2
42,32.23263207,12,0.961,31,2
23,25,9,1.017,56,2
16,17,6,1.039,61,1
33,25.60878107,8,1.046,58,2
7,15,9,1.053,48,2
8,13,10,1.046,49,2
11,20,12,1.094,50,2
11,16.76087811,10,1.045,53,2
10,16.66996902,10,1.038,57,3
7,11,16,1.045,59,6
10,13,16,1.032,66,5
9,13,16,1.027,61,5
8,15,16,1.07,62,5
24,24,9,1.034,62,3
17,14.8669969,10,1.039,58,2
15,15.26063608,11,1.049,55,2
14,19,15,1.046,52,2
7,10,18,1.053,35,1
8,15,16,1.037,34,1
10,12,15,1.04,38,2
14,21,12,0.983,55,2
7,15,11,0.983,48,3
12,14,12,0.98,44,2
8,17,12,0.967,62,3
14,27,12,0.965,59,4
12,22,11,0.968,48,3
13,24,10,0.959,47,3
18,29,11,0.959,46,4
17,31,10,0.964,41,3
26,37,11,0.978,39,4
29,42,13,1.004,39,4
22,29,13,0.981,54,3
14,39,12,0.965,65,3
14,37,9,0.943,78,3
15,39,10,0.925,74,4
22,41,9,0.925,79,5
31,42,8,0.915,77,5
25,37,9,0.91,77,5
31,37.1,23,0.943,60,3
33,35.19090909,24,0.991,46,2
38,38,27,1.01,32,2
36,39,24,1.055,38,2
30,34,18,1.041,32,2
21,25,15,1.022,34,2
18,18,9,0.99,37,2
11,12,7,0.944,58,2
10,13,6,0.931,62,2
14,20,6,0.9,86,2
16,25,5,0.868,77,2
15,28,5,0.853,93,3
26,40,5,0.865,91,4
30,43,6,0.888,76,3
37,48,8,0.908,69,3
40,49,11,0.931,61,3
33,52,8,0.909,73,4
27,34,13,0.892,73,3
22,30,10,0.896,78,3
16,21,10,0.889,78,4
28,32,9,0.887,74,4
22,22,11,0.889,72,2
16,18,14,0.902,72,2
19,22,11,0.901,82,2
22,24,12,0.953,77,2
45,25,23,1.085,39,2
30,31,21,1.025,20,1
26,30,20,1.022,16,2
36,25,17,1.026,32,1
16,26.16666667,8,0.955,54,2
13,26.86111111,9,0.961,51,2
17,27.33796296,10,0.992,31,2
13,27.72762346,8,0.966,43,2
15,27.18222737,7,0.971,46,1
17,26.71259859,8,0.976,38,2
19,26.99803169,7,0.963,37,2
18,26.4027936,7,0.958,41,2
20,27.29515471,11,0.972,37,2
26,26.25760327,11,0.968,43,4
24,26.09426769,9,0.97,44,3
25,25.97338328,14,1.044,41,2
21,22,22,1.104,43,3
29,34,27,1.196,43,4
18,18,16,1.022,49,3
15,24.61789346,10,0.969,54,2
27,24.38364921,10,0.982,58,2
31,24.13927514,9,0.982,62,2
16,23.87725969,10,0.978,69,2
19,20,10,0.977,69,2
29,26.57401107,10,0.953,73,2
24,24.94901107,9,0.94,72,2
27,22.65813402,9,0.901,65,2
16,20.4197691,8,0.905,71,3
24,19.31619863,8,0.9,71,2
44,51,11,0.862,70,2
4,5,7,0.8,78,2
16.90909091,4,5,0.783,86,2
2,2,5,0.775,80,2
6,12,6,0.774,68,3
8,8,7,0.792,56,2
13,14.28571429,8,0.808,44,2
18,18,16,0.821,35,2
13,9.035714286,18,0.851,43,2
20,9.702380952,15,0.884,50,2
15,10.60238095,16,0.954,53,2
15,10.51147186,17,0.994,57,2
8,8,9,0.972,70,2
6,6,10,1.02,70,2
8,10,10,0.902,66,1
6,11,10,0.94,64,1
6,11,10,0.94,64,1
8.5,9.418578644,10,1.796,55,2
7.722222222,9.236429774,9,1.049,50,2
8.122222222,9.442501403,10,0.892,46,2
9.485858586,10.01625164,10,0.769,47,3
6,10.01896024,11,0.692,33,3
13,9.855453617,11,0.668,40,2
8,10.1411679,12,0.657,37,2
12,10.96384557,14,0.652,34,3
21,11.27090893,16,0.672,29,3
17,11.92665879,13,0.65,26,4
24,12.83427228,12,0.643,17,2
12,13,10,0.639,16,3
7,16,10,0.649,16,2
5,12,10,0.674,13,2
8,16,9,0.681,22,2
10,20,9,0.67,17,2
15,21,12,0.678,26,4
10,14,15,0.677,22,4
23,17.71428571,15,0.66,17,4
24,25,17,0.663,18,3
39,18.95238095,17,0.669,21,2
20,19.44444444,16,0.664,19,1
20,17.44444444,15,0.671,55,1
7,17.81944444,18,0.693,63,2
5,18.296875,16,0.691,56,2
64,18.36969866,16,0.705,58,2
10,16.48080977,16,0.676,60,2
4,6,15,0.72,58,2
18,24,20,0.694,46,2
7,15.32964754,20,0.719,52,1
14,15.05300344,17,0.72,53,1
8,8,24,0.747,43,2
14,14,25,0.769,37,2
11,15,24,0.767,40,2
14,15.23044183,18,0.746,35,2
14,13.7688488,11,0.728,47,3
13,13.50871568,10,0.717,36,2
7,13.25133439,10,0.717,32,2
11,14.12655678,9,0.712,35,2
12,14.14764958,9,0.711,27,2
6,14.00559118,8,0.716,28,2
19,13.8014494,9,0.723,34,1
17,13.80688283,11,0.725,47,2
20,13.85657736,20,0.745,30,2
32,15.39210102,19,0.776,29,2
26,15.57289305,19,0.776,43,3
34,15.77649926,18,0.765,41,4
28,17.52580037,21,0.759,45,4
18,19.54786154,24,0.814,51,5
17,24,23,0.86,51,5
21,20.97689441,19,0.826,48,5
