PM25,PM10,NO2,CO,O3,SO2
43,55,39,0.48,77,16
48,48,40,0.447,65,10
38,39.6,57,0.45,54,15
34,39.22857143,48,0.449,57,18
26,39.09206349,31,0.432,66,19
23,27,53,0.428,57,30
22,32,55,0.43,53,23
23,36,50,0.431,53,26
28,37,37,0.386,69,14
26,38,58,0.431,51,36
19,27,65,0.453,50,44
19,21,57,0.443,56,26
18,21,34,0.421,69,18
18,19,23,0.434,74,10
16,23,40,0.411,68,26
15,19,9,0.42,88,8
15,18,22,0.417,86,10
13,20,23,0.427,85,9
12,16,27,0.435,78,7
11,17,10,0.441,78,6
13,21,18,0.454,75,7
9,21,21,0.476,73,7
7,14,49,0.451,62,16
7,13,27,0.447,73,11
10,17,24,0.443,72,9
12,18,8,3.531,78,7
14,18.875,2,0.433,82,6
14,19.98611111,2,0.412,84,7
16,20.28611111,30.27272727,0.403,79,6
18,20.28611111,43,0.41,64,15
20,23,39,0.404,64,15
20,24,53,0.417,55,20
21,31,49,0.44,52,19
20,24,37,0.439,57,16
14,14,26,0.42,75,21
11,12,12,0.405,88,12
11,12,9,0.49,89,12
8,11,1,0.49,96,7
9,11,3,0.372,103,8
10,13,1,0.49,107,7
10,13,1,0.49,107,7
11,18,1,0.408,101,6
18,31,6,0.429,96,8
22,34,5,0.409,99,8
18,34,16,0.395,94,9
20,29,44,0.406,88,17
18,28,40,0.392,89,15
19,26,27,0.394,93,12
19,27,50,0.42,82,23
19,22,36,0.414,84,16
18,21,31,0.407,87,26
19,26,32,0.395,82,24
20,26,28,0.398,73,15
20,27,59,0.402,55,30
20,32,33,0.399,64,13
20,36,47,0.416,60,12
22,33,57,0.414,65,25
21,24,56,0.401,72,22
19,35.72727273,24,0.35,95,11
17,30,23,0.295,91,16
17,37,10,0.286,98,9
17,38,10,0.38,99,9
19,51,1,0.42,106,10
24,59,3,0.369,114,9
24,59,2,0.46,114,9
28,52,23,0.368,105,12
28,50,36,0.329,88,15
32,46,22,0.321,93,8
30,44,33,0.322,83,13
28,39,31,0.325,86,14
29,50,55,0.323,74,25
46,47.71428571,50,0.311,77,23
57,47.58928571,33,0.301,88,13
57,47.28794643,7,3.394,98,8
54,46.73239087,43,0.262,84,19
50,47.73239087,6,0.242,98,8
48,53,17,0.244,94,10
47,51,22,0.248,95,14
46,49.21291035,33,0.243,88,21
24,41,34,0.255,85,16
22,54,56,0.254,73,21
25,50,37,0.258,82,15
27,57,46,0.28,79,18
27,46,29,0.292,83,11
31,48,61,0.313,70,22
34,44,58,0.31,77,20
37,44,46,0.328,83,17
32,41,29,0.318,92,9
32,40,19,0.304,98,7
29,42,29,0.306,86,6
31,46,39,0.303,86,7
31,47,65,0.308,71,19
27,42,56,0.308,71,18
27,43,39,0.285,68,15
31,51,46,0.31,66,12
30,51,58,0.319,61,21
33,41,40,0.303,56,11
35,42,31,0.313,57,7
37,54,40,0.351,51,8
9,23,29,0.389,71,7
2,30.45454545,21,0.386,75,7
3,19,6,0.386,70,7
3,10,3,0.391,74,5
3,3,15.36363636,0.381,81,5
4,22,5,0.396,77,5
5,19,3,0.372,81,6
6,29,9,0.401,82,6
9,27,6,0.398,80,6
12,35,16,0.41,77,6
12,24,6,0.384,79,5
12,24,6,0.47,79,5
16,24,14,0.388,72,5
14,24,26,0.393,66,6
9,20,25,0.384,68,5
7,13,25,0.385,67,4
6,16.81818182,10,0.354,72,5
7,8,5,0.341,69,4
8,9,5,0.305,67,4
8,12,4,0.289,73,5
9,14,4,0.283,75,5
11,13,7,0.29,78,5
14,16,27,3.425,75,7
14,19,4,0.29,87,5
14,16,1,0.284,84,6
15,25,13,0.293,75,6
17,24,14,0.295,72,6
19,26,9,0.292,77,6
22,43,17,0.308,69,7
25,44,30,0.325,67,6
23,44,53,0.334,48,24
22,39,47,0.346,57,16
23,35,45,0.339,66,14
29,30,31,0.334,79,7
28,37,20,0.312,88,7
24,32,27,0.306,85,9
21,27,21,0.303,90,8
24,37,27,0.296,83,6
25,36,29,0.295,82,6
23,36,16,0.274,85,6
24,34,60,0.305,61,13
22,34,49,0.29,63,9
20,28,27,0.277,72,6
15,18,30,0.285,72,13
10,12,40,0.268,73,16
12,12,46,0.279,72,20
13,14,50,0.266,69,24
16,24,44,0.242,77,23
17,27,46,0.249,79,21
19,32,52,0.24,75,30
20,37,44,0.214,74,23
21,40,30,0.201,84,13
21,37,17,0.195,90,6
24,35,32,0.228,80,8
23,37,33,0.228,80,7
19,32,43,0.222,79,10
21,28,76,0.268,55,32
22,28,53,0.229,67,19
22,30,80,0.264,62,30
20,21,50,0.252,77,19
24,32,51,0.286,74,16
22,27,48,0.305,67,11
17,25,49,0.262,65,17
13,21,59,0.244,63,23
16,21,11,0.233,78,5
15,20,5,0.225,76,6
13,20,47,0.224,66,26
11,19,70,0.236,53,34
14,20,37,3.375,67,19
15,19,38,0.214,62,19
14,18,44,0.226,57,14
18,24,34,0.233,63,11
14,26,55,0.23,48,28
13,18,61,0.239,48,20
13,25,66,0.25,42,26
16,35,69,0.289,46,32
14,29,81,0.293,43,57
14,25,61,0.276,52,39
17,20,25,0.245,71,11
18,31,47,0.245,60,29
14,19,17,0.232,71,10
16,24.18181818,18,0.246,81,6
17,20,41,0.263,73,16
13,18,44,0.266,68,10
8,17,70,0.287,51,17
12,28,79,0.323,48,18
11,24,91,0.29,43,36
11,25,81,0.282,52,21
13,29,81,0.266,55,35
12,24,68,0.23,61,26
7,22,4,0.186,82,5
8,8,34,0.177,64,11
6,9,47,0.174,53,11
5,11,22,0.163,65,7
5,5,5,0.129,77,7
4,12,1,0.116,82,6
4,10.90909091,1,0.107,81,5
3,6,11,0.098,84,7
4,13,60,0.108,57,21
4,16,77,0.11,49,25
3,6,26,0.123,73,6
3,12,55,0.151,60,21
5,21,75,0.198,56,14
5,5,33,0.24,84,11
5,7,36,0.33,83,12
5,6,70,0.328,63,14
5,4,71,0.42,63,14
5,7,71,0.42,63,14
5,15,58,0.234,70,15
5,16,41,0.246,75,10
6,13,63,0.25,64,22
9,24,96,0.26,62,29
13,25,42,0.234,96,13
15,31,35,0.223,100,11
17,28,21,0.218,102,6
13,13,18,0.214,93,9
9,14,16,3.364,103,6
12,13,6,0.196,104,4
11,16,1,0.169,110,5
5,6,1,0.097,107,4
4,8,2,0.08,96,5
3,16.63636364,2,0.067,105,4
3,11,14,0.066,103,5
4,17,39,0.091,86,13
7,13,47,0.101,64,27
13,32,67,0.146,70,41
12,40,48,0.135,80.55555556,34
8,27,25,0.111,77.65555556,16
8,17,23,0.1,75.11010101,22
7,22,17,0.099,75,9
5,24,13,0.073,64,8
5,16,9,0.07,62,7
4,12,8,0.086,67,4
4,13,5,0.067,77,4
5,18,26,0.076,66,4
5,20,14,0.074,75,4
7,33,33,0.075,65,10
5,40,65,0.082,42,41
6,36,57,0.089,44,41
5,26,54,0.089,40,36
7,25,52,0.09,49,36
7,24,49,0.078,42,37
7,24,46,0.074,44,21
9,23,10,0.093,67,6
9,22,5,0.091,67,5
8,22,10,0.071,58,6
7,24,29,0.069,53,7
5,21,30,0.052,55,5
3,13,27,0.049,49,4
3,11,15,0.073,76,3
5,16,43,0.109,64,3
6,13.54545455,52,0.13,56,3
5,6,45,0.105,57,6
4,6,31,0.088,64,5
4,3,31,0.18,64,5
4,13,4,0.07,85,3
5,14,16,0.084,81,3
5,10,35,0.123,67,3
7,10,50,0.177,60,3
8,20,73,0.186,58,7
12,15,38,0.156,69,4
8,13,88,0.158,45,23
7,20,63,0.11,53,12
6,13,62,0.105,51,13
4,13.90909091,21,3.239,72,4
7,8,39,0.118,59,17
8,17,84,0.118,46,35
5,5,34,0.084,67,12
7,18,76,0.116,51,38
8,14,73,0.113,53,15
6,21,57,0.118,58,62
8,33,78,0.156,53,84
6,32,72,0.123,53,57
10,37,84,0.169,46,81
12,29,77,0.141,54,50
15,34,61,0.13,66,32
15,34,60,0.22,58,32
13,15,52,0.078,71,32
13,13,48,0.09,73,26
14,23,69,0.12,63,54
11,18,44,0.096,75,23
13,27,69,5.125,59,44
13,25,72,1.102,46,20
13,27,52,1.09,54,7
18,34,31,1.086,53,5
18,35,49,1.112,38,5
18,44,60,1.115,35,21
17,38,53,1.132,41,16
22,36,44,1.212,36,15
23,44,39,1.225,39,13
24,34,36,1.224,38,11
22,43,34,1.221,41,9
20,39,51,1.197,40,46
15,32,57,1.181,41,34
17,39,58,1.189,40,32
16,42,67,1.157,40,44
14,17,42,1.097,48,7
13,27,58,1.117,47,27
8,14,39,1.075,56,12
6,8,33,1.051,55,6
5,10,34,1.031,54,7
10,23,56,1.049,54,43
11,31,53,1.075,58,33
11,27,53,1.17,55,33
19,38,56,1.114,50,36
12,36,55,1.096,47,44
16,24,49,1.131,49,14
18,26,47,1.11,47,8
20,30,41,1.126,44,5
20,41,41,1.11,43,7
19,36,37,1.052,39,6
12,26,35,1.036,40,6
10,22,34,4.367,38,5
9,17,31,1.013,39,6
9,20,29,1.004,40,5
9,21,26,1.01,41,4
9,22,29,1.004,41,5
9,21,32,1.012,41,6
9,36,30,1.012,41,5
11,34,31,1.065,48,12
15,32,43,1.191,53,26
13,24,40,1.109,57,11
12,18,11,1.056,63,5
11,41,5,1.036,62,4
9,30,1,1.027,58,3
8,8,6,1.031,56,5
10,16,8,1.022,63,3
10,13,2,1,54,3
9,20,2,0.984,49,3
9,20,10,0.985,50,3
8,20,4,0.982,51,3
8,24,4,0.986,45,3
9,22,14,1.004,45,3
9,25,18,1.008,44,3
15,35,23,1.035,44,4
8,20,3,0.988,54,3
8,21,1,0.992,53,3
9,20,12,1.025,56,5
9,20,42,1.013,39,14
10,32,40,1.039,42,13
12,34,39,1.039,42,16
12,36,36,1.053,40,10
12,34,33,1.066,39,8
14,33,33,1.125,47,7
20,39,25,1.12,57,7
16,37,32,1.104,65,9
13,25,33,1.083,62,6
18,32,26,1.073,65,4
14,20,4,1.056,66,3
15,35,12,1.085,63,3
14,30,14,1.08,63,4
14,27,15,1.17,62,4
18,31,16,1.081,58,3
14,24,3,1.026,57,3
14,29,3,0.994,57,3
11,29,14,0.997,50,4
12,32,30,1.01,43,3
14,34,39,1.054,36,3
13,35,42,1.033,38,22
11,27,37,1.032,35,12
13,34,42,4.404,34,12
12,29,37,1.076,38,8
13,25,30,1.069,41,5
15,30,29,1.069,36,7
15,35,26,1.067,37,5
19,31,31,1.086,40,8
25,46,37,1.118,39,18
28,61,47,1.151,46,32
30,42,44,1.166,52,30
30,41,45,1.26,51,30
14,22,30,1.071,56,11
13,22,21,1.077,52,5
12,18,8,1.075,59,3
11,30,6,1.042,57,3
7,35,22,1.037,47,3
7,22,29,1.051,47,4
11,23,59,1.062,40,22
9,28,60,1.035,39,15
9,19,65,1.044,40,20
8,34,64,1.014,36,18
10,33,59,1.007,32,30
10,26,53,1.017,34,15
15,44,55,1.099,37,18
13,41,43,1.06,33,11
10,33,29,1.052,35,4
11,26,28,1.16,38,3
7,17,3,0.99,51,3
7,18,2,0.967,50,3
8,18,35,0.97,35,10
7,11,38,0.961,36,6
6,12,17,0.942,41,3
6,11,6,0.936,47,3
7,40,21,1.011,41,5
11,43,35,1.112,57,11
11,20,29,1.037,55,7
11,15,15,1.029,48,3
10,15,7,0.993,44,4
11,12,4,0.984,47,4
11,19,3,0.985,47,4
11,17,3,1.08,47,4
11,33,10,1.07,44,4
11,33,10,1.07,44,4
10,31,16,1.08,44,3
8,19,24,1.07,39,3
11,29,31,1.1,34,3
7,27,4,0.973,57,3
9,10,27,0.985,52,7
8,22.54545455,12,1.009,56,3
11,14,15,4.314,49,4
10,21,35,1.009,35,4
9,16,41,0.982,34,14
9,23,48,0.99,38,19
10,25,48,0.998,33,25
9,31,37,0.99,32,21
8,28,33,1.006,40,10
9,39,29,1.046,37,10
15,35,37,1.068,45,41
14,42,32,1.036,45,21
12,64,33,1.067,40,7
12,46,33,1.16,42,6
10,41,17,1.017,52,7
7,41,6,0.974,45,3
6,20,2,0.974,45,3
6,16,3,1.002,43,3
6,28,7,1.019,43,3
5,31,29,1.014,40,6
5,10,7,0.981,42,3
9,23,15,1.001,35,3
11,36,30,1.082,33,3
9,35,33,1.086,34,21
10,33,33,1.07,33,17
10,32,32,1.067,35,20
8,26,29,1.031,35,10
8,19,21,1.004,34,5
9,27,9,1.021,35,4
8,28,16,1.036,34,4
8,26,10,1.067,37,4
9,26,8,1.074,40,4
10,38,9,1.084,36,5
10,26,10,1.096,40,4
8,18,15,1.084,39,4
13,29,32,1.122,44,15
17,30,33,1.119,43,17
17,28,33,1.21,44,18
11,27,40,1.088,37,28
10,10,23,1.053,47,20
10,23,5,1.039,54,3
12,26,11,1.055,51,4
11,30,21,1.063,49,3
10,26,27,1.039,42,3
10,19,28,1.032,39,3
9,18,18,1.004,42,3
9,14,18,1.09,43,3
8,23,21,1.013,63,3
7,10,9,1.009,71,3
8,12,27,1.02,58,3
10,21,33,4.371,49,4
11,25,76,1.071,40,29
11,30,78,1.092,37,18
11,27,69,1.067,38,14
10,36,62,1.017,36,29
11,42,58,1.035,40,28
9,25,60,1.025,34,20
8,27,46,1.04,39,11
12,38,55,1.128,37,29
15,46,54,1.169,43,23
13,41,57,1.154,45,26
11,31,36,1.079,48,7
10,27,21,1.028,51,3
11,21,56,1.076,34,4
7,26,47,1.072,45,7
5,42,12,1.021,63,3
6,16,20,1.006,66,3
7,8,38,1.039,62,3
7,12,47,1.057,54,3
7,11,47,1.054,48,3
10,24,61,1.093,42,4
12,32,84,1.178,39,7
10,33,85,1.134,36,15
11,40,80,1.11,32,28
14,35,67,1.177,37,16
12,30,54,1.116,41,8
10,20,41,1.081,43,5
11,24,51,1.083,37,13
11,28,50,1.095,45,7
9,20,43,1.058,47,15
9,29,62,1.065,38,13
10,28,62,1.082,51,22
12,26,61,1.097,45,12
12,17,52,1.091,55,12
9,15,47,1.045,56,18
9,12,47,1.14,55,19
10,13,46,1.06,53,30
11,11,35,1.04,56,13
10,22,24,1.032,58,5
10,19,24,1.12,59,5
10,39,48,1.039,43,28
9,35,64,1.037,32,61
10,28,57,1.047,33,38
13,32,44,1.072,34,13
11,20,32,1.04,33,4
10,20,28,1.008,35,4
8,14,19,0.978,41,4
8,16,25,1.021,40,3
7,13,11,4.372,42,4
7,14,3,1.002,43,3
7,10,1,0.98,51,3
7,10,1,0.967,54,3
7,14,2,0.96,53,3
7,9,8.454545455,0.952,54,4
6,21,1,0.97,54,4
7,24,11,0.996,47,3
9,36,10,1.047,47,4
9,39,18,1.061,46,3
8,30,10,1.041,46,3
8,30,12,1.13,46,3
9,15,6,1.05,48,3
9,15,7,1.15,48,4
15,105,9,1.63,52,4
17,23,23,1.07,51,4
25,37,6,1.12,45,3
25,37,6,1.12,45,3
22,37,20,1.09,41,3
17,26,32,1.11,51,3
25,41,53,1.2,39,3
22,23,62,1.17,37,4
23,39,63,1.18,34,4
29,39,58,1.19,35,11
29,39,58,1.19,35,11
17,36,50,1.2,34,15
17,44,51,1.23,35,11
12,31,44,1.17,32,16
12,20,39,1.16,44,8
7,8,8,1.09,59,4
6,18,3,1.09,60,3
7,19,16,1.11,54,3
9,24,58,1.17,41,4
8,15,64,1.13,40,4
8,15,64,1.13,40,4
10,32,37,1.15,50,3
10,32,37,1.15,50,3
8,9,66,1.44,39,11
15,21.85714286,70,1.308,42,4
15,22.48214286,76,1.305,41,4
15,23.9265873,83,1.425,40,4
15,24.1265873,79,1.343,46,4
13,22.1265873,74,1.216,41,7
11,26,59,1.179,41,8
9,29,58,1.15,41,13
11,28,44,1.136,41,7
9,17,25,1.114,54,5
8,10,2,1.091,58,4
6,12,1,4.457,57,4
5,7,6,1.107,55,4
5,16,38,1.123,44,13
5,17,38,1.127,44,12
6,18,22,1.118,51,13
9,24,48,1.12,40,36
11,37,50,1.112,39,50
11,30,49,1.108,46,35
11,29,39,1.096,55,21
11,30,39,1.117,57,27
11,29,21,1.095,74,9
10,25,28,1.077,60,12
11,32,22,1.063,79,9
12,23,37,1.077,61,30
9,19,12,1.067,62,7
7,14,18,1.052,59,12
7,19,33,1.044,52,18
6,16,40,1.055,48,25
7,21,32,1.053,47,15
8,30,44,1.082,37,9
7,25,46,1.077,32,13
6,22,36,1.061,39,12
9,33,43,1.071,39,32
9,18,14,1.083,49,6
11,21,19,1.073,49,7
11,23,6,1.058,50,6
11,18,2,1.043,48,5
10,20,1,1.049,42,4
8,24,7,1.021,47,3
7,24,3,1,40,3
9,48,3,1.007,38,3
11,27,20,1.113,50,15
14,56,47,1.135,48,53
14,41,31,1.106,52,17
9,23,13,1.048,45,6
9,32,20,1.074,56,11
8,18,33,1.103,56,20
9,21,47,1.108,44,32
9,25,51,1.122,47,36
14,34,58,1.13,45,52
13,30,56,1.136,43,39
12,25,29,1.112,49,8
10,15,24,1.079,43,4
9,19,27,1.079,37,3
10,18,25,1.081,37,3
10,20,18,1.069,39,3
8,16,19,1.076,36,3
10,18.1,28,1.131,33,3
12,20,21,4.461,34,3
10,18.00909091,8,1.091,36,3
10,19,9,1.111,35,3
10,17,5,1.082,36,3
9,12,3,1.062,37,3
8,13,3,1.042,35,3
7,26,2,1.036,39,4
9,25,15,1.117,44,5
9,24,14,1.112,38,6
10,26,4,1.202,41,4
9,17,1,1.152,50,4
9,11,1,1.24,50,4
10,25,4,1.153,62,4
10,33,8,1.17,70,4
10,30,8,1.26,71,4
13,54,8,1.179,85,4
14,61,17,1.201,89,4
14,35,26,1.211,85,5
12,44,42,1.18,55,7
10,27,63,1.2,29,8
10,24,60,1.204,30,7
11,25,54,1.209,29,5
11,26,51,1.221,31,4
11,26,51,1.31,30,4
10,28,47,1.289,31,6
8,13,43,1.233,30,11
8,18,38,1.229,30,9
9,16,35,1.236,35,7
10,22,30,1.245,34,5
9,23,31,1.289,32,5
11,26,26,1.285,38,6
12,29,26,1.271,39,5
18,39,28,1.303,43,6
21,43,38,1.32,43,7
32,63,39,1.351,64,13
43,79,28,1.361,92,13
42,62,12,1.342,110,10
34,73,21,1.354,116,7
32,70,15,1.32,123,6
32,70,14,1.41,123,6
35,85,24,1.31,121,5
28,65,18,1.268,104,4
27,147,44,1.251,76,5
22,57,46,1.239,65,5
22,56,46,1.33,65,5
18,72,37,1.29,56,4
16,38,55,1.271,41,7
16,37,55,1.37,41,7
12,39,52,4.554,33,11
11,20,46,1.243,28,11
10,15,41,1.306,33,8
9,10,38,1.342,31,7
9,16,33,1.204,34,6
8,19,33,1.209,35,6
8,22,30,1.223,34,5
9,24,28,1.207,41,7
10,36,29,1.244,42,6
13,40,33,1.253,48,6
15,41,38,1.246,54,7
15,41,38,1.34,54,7
14,30,23.63636364,1.205363636,59.54545455,5.454545455
15,46,18,1.176,81,6
15,57,16,1.184,91,5
13,49,6,1.164,84,4
11,18,5,1.137,71,4
10,23,19,1.085,55,3
8,27,27,1.054,38,3
8,40,32,1.05,40,3
9,36,41,1.073,30,4
9,20,46,1.083,28,3
10,30,45,1.126,29,3
9,26,41,1.149,31,3
9,9,37,1.096,33,3
10,20,36,1.109,30,3
9,16,27,1.081,38,3
9,21,14,1.068,42,3
11,38,33,1.117,36,4
12,36,31,1.119,37,4
10,34,27,1.116,39,3
11,34,23,1.185,47,4
11,30,8,1.117,55,4
11,24,11,1.114,54,4
11,24,12,1.2,54,4
12,34,23,1.146,58,4
12,50,23,1.146,58,8
10,19,2,1.11,68,4
10,15,2,1.2,67,4
10,21,13,1.2,56,4
9,27,7,1.097,53,3
8,31,13,1.089,47,3
8,25,23,1.093,41,3
8,25,29,1.08,41,3
8,22,33,1.085,38,4
8,31,33,1.115,35,3
9,33,37,1.155,35,4
9,33,37,1.25,36,4
8,21,35,4.593,34,10
10,29,36,1.202,34,9
10,16,32,1.158,36,4
13,37,30,1.224,37,5
11,26,29,1.158,33,7
13,36,30,1.195,35,18
13,36,30,1.29,36,18
14,35,35,1.2,42,30
13,30,28,1.161,47,12
13,25,16,1.152,53,6
12,30,31,1.159,47,19
13,49,29,1.163,50,8
11,39,11,1.147,61,4
10,38,24,1.153,52,4
9,22,25,1.142,56,4
9,23,13,1.116,52,4
10,28,23,1.127,50,4
10,50,30,1.134,42,4
10,36,37,1.143,38,4
13,108,41,1.132,32,3
12,41,40,1.123,32,3
12,60,37,1.1,36,4
8,37,31,1.106,36,4
8,19,33,1.121,33,5
8,19,33,1.21,33,5
8,14,29,1.121,34,6
10,14,30,1.151,38,5
12,26,30,1.203,37,8
13,37,30,1.206,38,13
13,38,29,1.186,36,16
14,40,29,1.188,42,20
14,40,29,1.28,41,20
15,36,35,1.183,46,22
14,36,24,1.148,57,9
13,35,20,1.141,60,7
13,32,18,1.128,64,13
11,25,9,1.134,65,8
12,36,4,1.138,78,6
11,31,16,1.159,74,6
10,26,23,1.137,67,10
12,21,23,1.119,60,7
13,25,27,1.124,52,5
11,12,28,1.114,44,4
11,15,35,1.11,34,3
11,43,40,1.102,33,7
9,40,34,1.125,37,4
9,40,34,1.22,37,4
7,10,20,1.18,41,4
7,10,5,4.341,40,4
8,27.72727273,25,1.092,35,3
9,15,30,1.149,37,3
10,16,30,1.149,38,3
10,28,30,1.173,35,4
12,44,31,1.237,34,8
12,44,31,1.33,34,8
13,48,31,1.33,37,16
