PM25,PM10,NO2,CO,O3,SO2
14,17,35,1.53,37,7
22,26,17,1.214,44,8
18,19,36,5.296,22,9
14,18,31,1.9485,27.14285714,8
16,28,29,1.502,26.57142857,23.33333333
17,29,32,1.495,20,154
20,22,29,1.492,23,6
38,28.36363636,25,1.518,23,6
35,38,26,1.541,21,6
25,35,28,1.543,22,6
21,36,26,1.5,39,6
14,22,20,1.433,51,6
19,39,28,1.529,44,6
13,28,19,1.472,65,6
11,21,14,1.44,85,6
10,22,15,1.44,87,6
11,28,17,1.462,87,6
14,31,22,1.454,77,6
19,41,28,1.484,70,6
20,41,29,1.507,62,6
22,43,27,1.505,52,6
23,41,27,1.538,47,6
25,49,30,1.572,40,6
26,42,29,1.558,37,6
22,38,30,1.577,37,6
20,40,30,1.605,34,6
22,42,31,1.603,30,6
23,43,33,1.608,23,6
22,41,31,1.642,16,6
26,34,30,1.587,18,6
32,45,35,1.611,15,6
35,45,29,1.605,26,6
31,43,25,1.603,30,6
26,45,23,1.556,34,6
23,37,18,1.513,50,7
21,33,18,1.49,66,8
17,33,19,1.48,66,8
18,40,19,1.47,84,9
15,27,12,1.409,109,7
16,34,14,1.4,119,7
16,34,14,1.4,119,7
22,47,21,1.452,135,8
20,49,26,1.432,127,8
20,58,57,1.49,82,9
23,61,56,1.541,65,10
31,65,52,1.587,61,11
33,64,49,1.596,63,10
35,71,52,1.607,53,9
34,63,47,1.591,52,9
33,58,19,1.247,49,11
34,54,30,5.339,34,10
37,61,27,1.890545455,50.1,8
36,58,24,1.537,51.64545455,21.54545455
39,53,26,1.514,58,156
41,63,33,1.552,40,6
44,74,36,1.636,35,6
43,82,35,1.59,56,6
30,41,29,1.524,78,6
20,56.27272727,23,1.345,113,8
21,34,22,1.321,141,10
20,46,21,1.282,153,10
28,46,22,1.28,153,10
21,60,21,1.28,147,9
18,62,30,1.33,120,11
17,62,30,1.33,121,11
21,62,20,1.351,131,10
25,73,26,1.368,128,10
30,85,26,1.374,115,9
34,78,18,1.36,110,8
35,64,18,1.357,102,8
31,59,16,1.347,100,8
32,65,21,1.381,89,9
32,62,17,1.377,95,8
31,53,12,1.345,95,176
30,43,9,2.088,167,8
29,45,16,2.543,152,7
27,41,15,1.3,5,7
29,55,14,1.299,4,9
28,54,14,1.303,4,8
29,56,19,1.326,4,9
27,50,21,1.336,4,9
28,57,24,1.045,49,8
29,63,24,0.464,90,8
32,73,27,0.603,87,7
38,62,26,0.638,91,8
32,42,22,0.629,95,7
34,39,21,0.629,94,7
36,50,25,0.657,93,7
30,45,27,0.633,91,7
42,60,41,0.695,74,8
48,66,49,0.725,60,8
49,66,52,0.743,54,9
48,64,44,0.772,47,8
50,65,43,0.786,44,8
52,64,39,0.754,43,9
49,67,37,0.738,42,10
55,69,34,0.737,38,8
65,50.77777778,18,0.493,32,8
36,47,28,4.684,24,7
3,39.87777778,14,9.541,50.1,7
3,35.42323232,15,0.726,52.73636364,20.54545455
8,8,29,0.819,70,153
6,7,19,0.758,73,6
5,14,19,0.747,64,6
7,7,20,0.709,71,6
7,16,22,0.734,73,6
7,14,22,0.708,89,10
9,22,20,0.692,103,9
12,34,21,0.703,98,10
