PM25,PM10,NO2,CO,O3,SO2
50,71,66,0.67,74,9
48,54,39,0.689,37,6
45,52,30,0.547,54,5
38,55.5,15,0.489,53,6
39,50,11,0.471,47,7
36,50,11,0.456,55,7
36,55,13,0.46,52,6
35,57,19,0.467,41,8
36,55,28,0.491,38,7
39,69,36,0.509,47,7
42,76,34,0.547,39,12
34,67,30,0.524,39,5
30,56,26,0.522,56,5
27,45,30,0.499,45,7
26,49,26,0.512,51,4
25,49,26,0.524,51,4
24,47,39,0.532,48,5
22,44,37,0.516,42,4
20,43,29,0.517,50,5
19,40,16,0.473,43,4
22,45,11,0.463,53,4
18,41,15,0.458,59,5
13,32,17,0.459,44,5
13,24,10,0.462,50,6
9,12,7,0.431,55,5
13,16,2,0.393,59,6
13,24.90909091,3,0.382,47,4
12,16,3,0.365,62,5
12,13,4,0.364,55,7
14,19,4,0.377,55,7
18,23,4,0.377,45,6
22,33,9,0.392,35,7
23,40,14,0.408,46,8
25,45,25,0.467,43,5
23,53,21,0.454,45,8
25,40,16,0.474,50,5
26,29,25,0.51,85,7
18,23,17,0.47,106,5
17,33,8,0.422,76,2
12,15,11,0.41,119,4
12,15,11,0.41,119,4
39,107,77,0.493,54,20
30,70,80,0.492,49,32
32,58,59,0.508,35,17
21,43,28,0.463,60,8
24,45,24,0.46,41,7
27,47,15,0.453,52,9
25,39,12,0.443,52,10
23,35,12,0.448,65,8
22,24,10,0.422,52,8
24,29,7,0.425,58,7
23,27,8,0.41,63,9
23,29,5,0.397,71,11
25,35,8,0.415,55,10
28,49,32,0.477,38,10
28,55,26,0.489,52,7
26,51,21,0.502,52,14
19,35,13,0.436,69,8
19,43,10,0.397,44,6
20,27,10,0.375,57,5
17,27,9,0.336,68,4
17,25,13,0.37,113,4
16,30,12,0.35,110,5
16,36,9,0.317,76,4
16,35,13,0.35,112,6
27,68,11,0.36,76,7
29,62,10,0.36,59,3
34,57,11,0.352,59,4
42,69,10,0.348,75,5
34,63,7,0.338,74,4
31,64,6,0.339,52,5
27,57,4,0.334,73,4
24,47,2,0.317,76,5
29,50,3,0.314,59,5
33,47,2,0.301,73,7
33,51,2,0.29,67,6
32,59,2,0.275,70,7
29,58,1,0.266,66,7
23,47,2,0.262,61,6
22,39,3,0.274,41,7
26,47,8,0.301,61,7
26,48,9,0.314,60,5
26,57,9,0.328,73,6
23,48,12,0.376,60,4
24,45,15,0.384,65,3
31,48,7,0.371,58,4
34,40,8,0.36,62,4
26,33,9,0.363,53,3
27,41,12,0.38,57,4
29,38,25,0.441,44,3
34,49,45,0.519,42,5
37,54,56,0.565,35,5
38,63,57,0.623,33,5
40,68,62,0.614,34,4
44,70,47,0.593,39,5
47,62,49,0.579,40,5
47,49,35,0.536,37,5
47,52,34,0.506,46,5
52,46.6,18,0.465,46,8
24,68,15,0.495,29,5
5,9,3,0.775727273,46,4
4,36.69090909,6,0.712,58,5
7,11,8,0.704,57,6
9,14,10,2.802,48,5
10,21,15,0.588,44,5
13,34,24,0.553,56,6
13,37,28,1.932,55,6
16,32,25,0.59,43,3
18,32,20,0.523,43,4
21,45,17,0.529,52,5
21,45,24,0.57,104,6
21,44,30,0.533,49,3
23,52,28,0.526,47,5
23,47,43,0.557,45,3
25,43,40,0.607,39,3
23,39,43,0.621,34,4
24,33,45,0.62,43,4
28,33,40,0.593,40,4
19,22,41,0.54,41,6
13,15,28,0.496,42,5
19,19,46,0.51,47,6
29,26.77777778,30,0.506,26,3
27,24.97777778,15,0.466,33,4
26,24.34141414,12,0.444,37,7
24,29,17,0.437,45,8
21,25,18,0.586,46,4
20,26,15,0.573,33,5
18,21,14,0.532,37,4
19,26,18,0.472,51,5
19,36,34,0.504,33,5
20,34,37,0.529,34,7
22,34,45,0.602,29,5
30,41,46,0.629,40,5
27,38,36,0.551,36,6
31,103,19,0.476,48,5
39,67,23,0.503,50,4
35,38,32,0.537,48,4
34,40,34,0.557,42,3
33,44,50,0.558,44,5
39,55,48,0.58,47,5
38,53,31,0.544,44,5
41,48,43,0.627,39,4
29,30,21,0.563,43,4
23,24,24,0.52,48,5
15,36.66666667,7,0.446,66,5
12,35.76666667,5,0.42,54,3
17,34.49393939,4,0.388,67,7
19,21,3,0.371,64,5
17,26,2,0.351,79,5
17,29,3,0.34,62,5
20,35,4,0.394,66,6
22,41,19,0.434,57,5
24,40,24,0.484,48,4
37,53,37,0.715,37,3
51,80,52,0.727,23,5
52,67,53,0.665,33,2
46,57,50,0.671,44,5
41,46,35,0.662,46,5
36,40,47,0.627,38,4
38,44,45,0.652,43,4
46,62,81,0.723,42,5
47,70,61,0.697,33,4
32,44,30,0.558,38,3
25,35,25,0.496,52,4
23,34,29,0.504,51,4
19,25,29,0.496,35,4
18,26,14,0.454,50,4
20,23,22,0.474,58,5
22,26,28,0.494,43,6
26,27,26,0.968,41,5
29,37,29,0.724,41,5
32,47,48,0.995,37,5
29,42,46,0.68,29,5
25,39,43,0.63,32,5
24,47,38,0.695,36,6
17,27,43,0.736,40,5
13,24,29,0.693,44,3
13,27,22,0.574,58,2
12,29,20,0.52,48,3
14,25,23,0.517,40,2
17,30,27,0.504,46,3
16,23,26,0.491,49,3
13,21,34,0.513,45,2
11,14,33,0.56,44,3
12,24,35,0.597,45,5
12,26,34,0.616,41,4
14,36,41,0.632,37,4
15,30,42,0.651,41,4
8,28,40,0.52,42,4
5,18,14,0.4,45,5
6,8,11,0.483,53,5
7,9,20,0.477,42,4
6,6,12,0.384,54,6
8,13,19,0.424,38,6
7,13.7,10,0.38,56,4
8,12.60909091,11,0.392,51,5
6,10,9,0.361,50,7
6,16,8,0.33,43,3
6,15,22,0.386,51,4
5,14,29,0.417,43,4
5,16,45,0.476,31,4
5,11,47,0.483,37,4
9,13,23,0.466,53,7
9,10,39,0.51,86,7
8,14,24,0.5,54,6
8,11,40,0.54,80,6
