PM25,PM10,NO2,CO,O3,SO2
41,62,23,1.48,48,1
45,62,16,1.397,47,1
49,62,9,1.354,56,1
43,62,7,1.359,59,1
43,62,6,1.369,61,1
41,62,10,1.373,49,1
49,62,7,1.316,54,1
48,62,11,1.326,57,1
43,62,29,1.396,30,1
39,62,21,1.381,28,1
36,62,31,1.399,27,1
34,57.28571429,23,1.39,52,1
34,53.41071429,29,1.409,42,1
31,52.33705357,34,1.432,41,1
28,48.33705357,14,1.381,73,2
28,45.33705357,28,1.407,73,3
28,29,37,1.422,66,6
27,31,37,1.419,63,3
25,36.49289773,40,1.391,60,3
24,26,32,1.386,58,2
25,32,34,1.487,50,2
24,33,43,1.506,44,2
24,27,20,1.456,66,2
24,24,22,1.466,61,2
24,28.43661222,10,1.407,75,2
24,27.27073469,7,1.44,71,2
25,27.37073469,6,1.454,65,3
24,24,5,1.42,65,3
25,25,4,1.4,70,3
24,26.80780816,7,1.388,63,3
24,26,8,1.387,57,3
25,27,16,1.406,45,3
26,29,23,1.414,45,3
25,30,20,1.426,44,3
25,30.64531202,16,1.406,72,4
25,32.14531202,12,1.374,91,5
25,36,12,1.43,91,5
25,36,14,1.41,98,6
28,34.25369309,14,1.312,107,4
29,40,17,1.37,105,3
29,40,17,1.37,105,3
26,34,31,1.335,96,5
27,35,32,1.35,86,9
27,34,29,1.33,89,9
27,42,43,1.368,79,9
28,50,42,1.403,88,4
28,45,42,1.436,75,4
27,39,20,1.378,105,4
27,30,18,1.404,95,3
27,29,11,1.386,103,5
27,38.42857143,9,1.361,94,4
26,39.05357143,9,1.35,87,3
26,38.49801587,13,1.343,78,3
27,37.69801587,7,1.353,90,3
27,38.24347042,9,1.4,89,3
28,34,22,1.396,73,4
28,47,50,1.449,50,4
28,45,22,1.385,92,5
29,37,14,1.331,104,6
29,45,16,1.271,109,9
30,49,15,1.277,109,7
31,50,14,1.33,110,7
31,50,16,1.35,121,8
30,59,23,1.333,130,9
30,60,23,1.39,130,9
29,70,15,1.348,130,4
29,64,17,1.309,109,4
29,57,22,1.318,97,6
30,58,18,1.293,93,5
29,59,13,1.298,98,6
29,57,8,1.299,105,5
30,59,7,1.285,104,7
30,56,7,1.296,103,4
29,52,7,1.295,105,5
30,50,3,1.274,109,3
30,54,3,1.274,108,5
29,54,6,1.274,108,9
29,56,4,1.277,108,7
26,47,2,1.278,108,3
28,43,17,1.272,94,3
28,48,24,1.28,85,3
28,50,16,1.292,96,3
28,49,17,1.309,97,5
29,49,30,1.342,81,5
29,51,21,1.353,94,3
31,42,19,1.403,97,4
33,43,17,1.407,99,2
33,45,18,1.396,97,2
32,46,18,1.393,99,2
35,50,24,1.39,91,2
34,42,25,1.396,88,2
33,43,26,1.422,83,2
32,43,20,1.392,78,3
33,42,25,1.374,63,2
33,42,14,1.356,69,2
34,40,9,1.381,69,2
32,40.42857143,11,1.356,54,2
30,40.20408163,12,1.341,46,1
31,31,16,1.424,41,1
30,39.27210884,4,1.514,75,1
25,38.81746032,4,1.505,80,1
24,38.28703704,3,1.489,81,1
24,36.85846561,4,1.506,77,1
23,35.42989418,6,1.478,81,2
23,34.29610733,7,1.453,81,2
24,34.19610733,11,1.468,81,3
24,33.71682471,10,1.476,86,3
26,30,15,1.496,84,3
26,29,13,1.497,79,2
26,30,13,1.499,77,2
26,30,13,1.56,77,2
26,34,17,1.484,63,1
27,31.11947078,22,1.487,55,1
29,30.68657846,21,1.484,54,1
30,30.80100821,22,1.464,51,1
30,31.10117624,18,1.45,56,1
26,31.28470562,15,1.427,58,1
27,31.49882322,15,1.43,54,1
29,31.08196042,13,1.412,56,1
28,31.0757087,14,1.396,60,1
30,31.14056373,11,1.396,66,1
30,31.19715632,7,1.393,72,1
30,31.213153,6,1.398,66,1
