PM25,PM10,NO2,CO,O3,SO2
37,53,44,0.619,30,2
37,54,41,0.647,32,2
36,56,38,0.661,45,1
34,60,43,0.694,41,1
30,50,40,0.726,57,2
26,44,41,0.645,57,2
21,42,36,0.706,63,2
22,39,34,0.715,81,2
22,42,37,0.679,83,3
20,45,45,0.707,68,2
21,44,54,0.713,62,2
23,44,59,0.729,58,2
19,44,54,0.77,62,2
21,45,68,0.79,53,3
24,31,20,0.58,57,4
24,41,37,0.63,33,4
29,43,38,0.75,34,2
29,43,38,0.75,34,2
26,38,30,0.74,63,3
20,33,29,0.73,83,3
19,22,22,0.7,113,3
18,32,23,0.67,135,3
18,32,23,0.67,135,3
27,54,109,0.7,60,35
27,54,109,0.7,60,35
28,55,110,0.71,52,33
21,48,92,0.73,49,11
29,50,49,0.71,55,4
34,55,59,0.76,50,4
25,35,52,0.73,66,6
25,28,24,0.63,107,4
17,28,18,0.59,124,3
18,46,21,0.56,124,4
17,40,20,0.6,122,4
15,27,17,0.58,121,4
16,30,17,0.56,118,4
29,75,25,0.619,130,6
30,68,34,0.631,116,4
27,75,25,0.68,129,6
34,55,29,0.65,115,3
30,56,6,0.396,114,3
27,37,9,0.422,106,2
28,45,25,0.484,93,2
27,54,31,0.558,91,2
27,60,38,0.607,83,2
26,61,33,0.734,87,2
23,35,31,0.743,94,1
24,32,19,0.704,101,1
32,43,19,0.724,105,1
26,48,32,0.742,94,1
32,47,40,0.72,80,1
31,45,42,0.716,85,1
28,36,42,0.745,86,1
26,36,42,0.8,84,1
28,42,57,0.85,64,1
11,21,24,0.464,72,2
17,21,41,0.657,54,2
16,22,37,0.743,64,3
12,21,32,0.714,75,4
12,33,34,0.71,94,3
13,32,27,0.677,105,3
17,33,31,0.634,90,2
15,33,31,0.69,90,2
25,49,39,0.672,70,2
20,46,40,0.589,67,3
19,52,49,0.734,52,2
21,39,63,0.793,40,1
19,39,63,0.85,40,1
19,27,40,0.57,40,2
20,30,51,0.646,31,1
23,41,60,0.715,24,2
26,36,61,0.798,27,1
34,47,67,0.833,32,1
40,40,73,0.852,27,1
41,41.6,62,0.765,38,1
48,44.87272727,66,0.758,37,1
45,45,92,0.847,20,1
34,43,99,0.811,14,1
38,50,102,0.9,6,2
42,57,105,0.965,8,1
43,63,87,0.832,17,1
40,43,74,0.793,25,1
33,45,40,0.684,49,1
26,26,34,0.666,51,1
17,39.44444444,18,0.607,73,1
11,38.24444444,11,0.57,81,1
15,36.33535354,8,0.544,97,1
17,20,7,0.508,100,1
16,25,4,0.489,111,2
17,26,6,0.525,101,2
21,38,14,0.579,91,2
21,36,35,0.694,71,1
27,43,53,0.786,48,2
31,49,56,0.739,48,1
46,65,70,0.84,34,2
42,54,71,0.806,38,1
34,48,65,0.748,47,1
33,37,66,0.761,52,1
37,42,64,0.778,58,1
38,46,77,0.791,45,1
42,52,83,0.807,33,1
48,64,90,0.807,28,2
35,63,52,0.718,53,1
35,68,34,0.653,71,1
32,54,40,0.599,68,1
24,28,40,0.613,62,2
22,28,29,0.715,72,1
25,30,30,1.003,74,1
30,34,30,0.52,68,3
30,40,32,0.527,54,2
31,43,49,0.673,32,1
31,45,54,0.647,28,1
30,35,35,0.58,45,1
33,33,47,0.697,31,2
32,47,57,0.869,30,3
25,48,61,0.965,30,3
13,34,51,0.924,40,1
11,39,42,0.881,60,1
11,34,43,0.816,54,1
15,35,52,0.821,51,1
17,22,42,0.797,55,1
16,26,44,0.74,57,1
16,32,50,0.777,49,1
13,16,51,0.869,54,1
11,17,62,0.809,46,1
13,20,59,0.853,43,1
17,29,52,0.866,52,1
13,23,53,0.795,50,1
8,22,52,0.628,54,2
4,27,28,0.594,71,2
4,9,25,0.552,75,1
6,9,37,0.571,66,1
6,6,34,0.499,65,1
10,10,35,0.53,58,2
12,12.2,33,0.568,59,2
9,11.74545455,29,0.447,59,3
6,6,17,0.497,75,2
5,8,15,0.494,86,2
5,10,29,0.513,72,2
4,15,50,0.636,53,2
5,17,83,0.756,24,1
5,8,53,0.784,39,2
7,9.363636364,39,0.725,66,2
5,7,39,0.78,61,2
8,9,43,0.715,64,2
6,6,43,0.77,64,2
6,6,43,0.77,64,2
5,11,47,0.676,58,2
6,16,59,0.665,45,2
11,16,49,0.772,47,2
11,19,34,0.719,65,2
10,26,32,0.589,65,3
8,16,46,0.512,51,2
5,15,34,0.525,62,2
5,13.90909091,39,0.683,59,1
6,15,35,0.654,66,2
8,8,23,0.448,75,2
