PM25,PM10,NO2,CO,O3,SO2
18,24,31,1.4,49,5
10,15,17,1.39,19,3
9,15,17,1.397,21,3
10,19,23,1.387,16,3
10,16,26,1.398,17,5
15,30,29,1.397,13,5
16,40,28,1.392,12,5
17,39,22,1.395,15,4
17,28,27,1.38,19,3
10,11,24,1.354,21,3
12,23,17,1.356,17,2
10,32,18,1.384,23,4
8,21,20,1.365,32,3
10,23,20,1.378,31,3
8,24,20,1.4,37,3
9,27,17,1.359,33,3
12,29,22,1.356,40,3
15,37,20,1.383,40,3
16,34,25,1.421,33,2
16,37,32,1.452,21,3
18,44,30,1.476,23,5
15,36,26,1.473,18,3
17,38,25,1.477,21,4
21,50,33,1.54,18,5
22,51,32,1.602,10,4
19,36,29,1.605,21,4
10,10,16,1.398,29,3
11,14,12,1.342,38,2
13,22,19,1.363,36,3
16,24,16,1.39,21,4
19,41,22,1.444,26,6
23,40,27,1.489,14,6
24,39,27,1.466,13,5
23,44,21,1.454,13,2
18,22,17,1.426,27,3
15,30,21,1.403,48,4
16,30,27,1.41,75,5
13,18,21,1.39,92,4
14,42,10,1.335,68,4
14,43,19,1.31,135,5
14,43,19,1.31,135,5
11,53,14,1.238,81,4
12,48,16,1.264,63,3
11,21,21,1.268,55,5
16,31,20,1.297,47,5
16,33,19,1.332,46,4
17,43,15,1.343,61,4
17,30,22,1.336,62,6
18,31,16,1.337,67,8
18,33,16,1.349,71,7
20,39,20,1.359,45,7
24,52,22,1.41,48,6
24,50,22,1.406,45,5
29,64,27,1.427,33,7
31,64,29,1.448,38,10
27,56,20,1.443,41,8
29,48,23,1.474,35,5
21,49.09090909,21,1.434,51,6
17,18,25,1.356,53,4
14,40,19,1.223,73,5
14,39,12,1.195,71,4
14,39,20,1.21,127,6
13,70,17,1.21,121,6
11,23,12,1.192,55,5
12,23,14,1.2,115,6
17,83,12,1.215,72,5
18,61,9,1.218,56,5
21,69,15,1.209,61,4
22,43,15,1.219,44,4
21,31,12,1.219,59,3
18,61,11,1.216,48,4
19,58,13,1.239,51,6
20,47,13,1.238,57,5
18,26,11,1.213,59,4
17,31,12,1.196,53,4
17,28,13,1.186,66,5
15,36,14,1.178,70,5
16,60,12,1.174,63,4
16,41,10,1.181,62,4
17,46,13,1.232,47,5
17,39,23,1.274,35,4
17,57,26,1.258,50,2
17,51,26,1.242,59,4
17,59,20,1.258,66,4
22,50,16,1.304,45,4
19,28,12,1.269,49,3
19,25,10,1.245,42,3
21,34,21,1.261,48,2
19,46,18,1.265,58,3
21,52,26,1.258,51,3
21,37,24,1.381,38,2
20,34,22,1.314,56,3
20,39,20,1.272,42,3
22,48,18,1.28,35,3
25,53,27,1.3,34,5
38,87,34,1.419,22,5
41,84,32,1.492,21,5
38,74,36,1.498,24,4
18,71,19,1.458,29,5
3,7,11,1.401,52,2
4,6,12,1.39,52,2
4,5,9,1.376,50,3
4,10,9,1.379,47,3
4,8,14,1.429,44,4
6,19,21,1.449,35,4
5,9,21,1.418,40,3
6,22,19,1.414,30,5
7,19,15,1.402,59,5
9,23,23,1.397,35,4
13,35,19,1.401,43,4
13,35,30,1.41,78,6
14,22,21,1.392,35,4
16,32,23,1.393,37,3
17,24,29,1.41,35,3
15,27,30,1.481,26,3
12,15,29,1.472,27,3
11,20.72727273,24,1.414,32,3
12,17,22,1.374,33,4
13,22,24,1.388,34,4
11,14,18,1.364,32,3
10,11,15,1.337,33,4
9,9,11,1.334,33,3
10,15.15702479,14,1.344,33,5
12,13,18,1.341,23,4
11,17,13,1.34,24,4
