PM25,PM10,NO2,CO,O3,SO2
64,81 ,68,0.67,32,7
35,46 ,36,0.606,32,3
28,28 ,30,0.582,33,3
28,38 ,23,0.541,36,3
29,43 ,27,0.563,28,4
35,46 ,24,0.532,35,6
29,42 ,47,0.561,18,5
20,37 ,48,0.577,12,4
26,51 ,44,0.566,14,4
29,58 ,44,0.593,16,4
25,39 ,40,0.572,22,3
23,28 ,46,0.589,24,4
21,31 ,47,0.593,27,3
17,35 ,35,0.566,40,3
21,44 ,32,0.584,47,6
20,41 ,39,0.582,47,4
17,36 ,43,0.594,48,4
17,30 ,44,0.595,50,5
15,31 ,43,0.574,47,4
14,23 ,39,0.604,51,4
17,40 ,41,0.621,45,3
19,45 ,52,0.66,34,4
15,41 ,56,0.678,33,3
10,11 ,32,0.576,47,3
11,13 ,18,0.511,57,3
12,15 ,13,0.497,57,4
13,27 ,11,0.492,57,4
13,27 ,8,0.476,58,3
15,21 ,7,0.452,61,3
18,28 ,7,0.441,57,5
20,24 ,10,0.44,52,5
20,31 ,20,0.454,49,7
22,38 ,37,0.492,36,9
21,34 ,37,0.505,37,5
21,35 ,31,0.542,42,6
17,24 ,25,0.512,53,6
17,19 ,25,0.57,53,6
14,30 ,18,0.55,68,5
10,30 ,13,0.487,83,4
5,17 ,14,0.51,73,3
5,17 ,14,0.51,73,3
15,47 ,20,0.53,73,3
11,23 ,24,0.565,71,3
14,51 ,37,0.605,63,5
22,61 ,33,0.573,65,7
23,56 ,34,0.554,67,7
27,47 ,35,0.568,66,7
21,24 ,30,0.52,72,5
21,44 ,21,0.501,75,6
21,46 ,15,0.487,76,6
24,47 ,25,0.532,67,8
26,30 ,31,0.541,58,9
24,43 ,22,0.497,62,9
26,55 ,32,0.539,47,6
30,45 ,47,0.577,39,6
28,51 ,46,0.623,36,5
21,55 ,52,0.515,44,9
19,27 ,41,0.461,57,7
16,23 ,24,0.409,73,5
14,33 ,20,0.379,72,5
13,41 ,14,0.384,79,5
13,38 ,14,0.44,79,5
16,59 ,10,0.48,84,6
18,58 ,15,0.472,89,6
18,50 ,15,0.53,89,6
26,93 ,23,0.5,97,7
25,75 ,22,0.49,90,5
34,60 ,19,0.492,86,4
38,63 ,16,0.456,86,3
36,36 ,18,0.448,76,3
31,38 ,25,0.443,69,3
32,57 ,17,0.396,77,3
31,32 ,12,0.365,82,4
30,49 ,8,0.357,81,4
31,48 ,5,0.346,85,4
31,46 ,6,0.337,80,5
29,38 ,7,0.308,81,5
28,62 ,5,0.3,82,5
25,56 ,5,0.305,77,4
21,47 ,12,0.312,74,3
24,47 ,28,0.343,68,4
26,62 ,23,0.343,71,3
31,61 ,31,0.393,66,3
30,51 ,31,0.441,66,3
27,39 ,19,0.423,72,3
32,43 ,21,0.434,74,3
27,46 ,20,0.436,72,3
27,35 ,23,0.447,68,3
28,37 ,26,0.456,68,3
29,52 ,32,0.47,62,3
26,38 ,33,0.495,61,2
29,39 ,34,0.481,57,3
40,53 ,35,0.482,53,4
33,47 ,33,0.484,55,3
35,46 ,36,0.467,49,4
39,45 ,45,0.43,43,10
44,41 ,49,0.466,33,7
52,54 ,67,0.578,17,5
48,37 ,50,0.515,21,9
31,74 ,16,0.481,46,5
41.5,7 ,8,0.464,56,3
42.58333333,9 ,8,0.452,56,3
43.18055556,14 ,14,0.454,54,3
43.04398148,20 ,19,0.456,50,3
37.32969577,22 ,33,0.474,46,4
32.95469577,29 ,35,0.486,49,4
31.84358466,19 ,27,0.458,57,4
29.89358466,39 ,22,0.465,70,4
28.02237253,34 ,27,0.493,65,4
12,30 ,21,0.466,59,3
13,24 ,22,0.52,59,4
21,28 ,38,0.493,47,3
22,46 ,43,0.492,40,3
22,46 ,63,0.563,25,3
23,32 ,78,0.606,17,2
16,29 ,54,0.507,30,3
15,17 ,47,0.464,34,3
16,20 ,43,0.459,34,3
14,27 ,40,0.444,31,3
15,15 ,37,0.425,33,3
19,23 ,37,0.431,33,2
25,22 ,36,0.427,30,3
20,20 ,32,0.401,31,2
18,20 ,29,0.402,32,3
20,24 ,22,0.392,30,3
23,27 ,22,0.374,31,3
18,27 ,24,0.378,28,3
15,32 ,33,0.377,24,3
16,28 ,51,0.436,19,3
15,27 ,56,0.503,12,3
17,27 ,53,0.535,19,2
28,42 ,62,0.603,18,3
27,34 ,61,0.581,22,4
30,36 ,45,0.504,37,3
35,37 ,35,0.47,47,3
36,39 ,46,0.477,46,4
26,44 ,48,0.502,42,3
26,39 ,54,0.497,41,4
28,46 ,58,0.5,35,4
33,40 ,65,0.537,32,4
27,48 ,45,0.454,38,3
19,21 ,40,0.466,40,4
17,34 ,23,0.42,48,3
14,33 ,21,0.411,52,4
10,10 ,10,0.363,66,3
10,31 ,8,0.355,69,4
13,31 ,7,0.337,73,3
14,27 ,5,0.298,76,3
15,28 ,4,0.277,82,3
18,32 ,7,0.281,79,3
19,42 ,10,0.289,72,4
21,37 ,30,0.359,59,3
26,39 ,38,0.387,50,3
34,42 ,57,0.44,36,5
53,66 ,84,0.59,22,3
45,49 ,80,0.596,30,3
45,58 ,94,0.606,23,3
34,37 ,85,0.531,29,3
36,41 ,68,0.502,38,3
37,39 ,65,0.519,38,3
35,55 ,78,0.575,26,4
21,27 ,60,0.475,36,3
17,21 ,52,0.432,39,3
13,16 ,29,0.367,57,3
12,17 ,24,0.357,58,3
14,21 ,28,0.356,55,3
14,24 ,28,0.341,49,8
14,21 ,31,0.332,46,8
15,19 ,14,0.315,53,4
14,14 ,15,0.339,50,4
11,15 ,13,0.322,48,4
31,43 ,56,0.57,23,5
43,71 ,66,0.695,13,4
34,57 ,62,0.621,16,5
15,32 ,39,0.411,30,5
19.6,20 ,39,0.417,32,4
19.41818182,27 ,27,0.414,40,3
10,27 ,24,0.423,44,3
11,27 ,23,0.409,44,3
13,22 ,27,0.442,41,3
14,20 ,27,0.422,45,3
12,23 ,27,0.439,48,3
16,41 ,35,0.475,44,3
12,15 ,38,0.498,44,2
11,49 ,49,0.577,40,3
11,14 ,45,0.516,44,3
10,34 ,50,0.502,40,2
11.66666667,27 ,38,0.434,43,3
12,35 ,62,0.443,30,3
11,97 ,49,0.392,29,4
10.95238095,27 ,15,0.235,50,3
10,22 ,25,0.303,42,4
10.93650794,10 ,41,0.402,29,4
11.09259259,10 ,23,0.271,41,3
10.99691358,3 ,16,0.2,48,5
10.82973251,1 ,7,0.171,59,4
10.8013546,22 ,6,0.16,60,4
10.77618354,27 ,11,0.187,56,4
9.919040679,18 ,34,0.236,46,4
9.773688213,29 ,39,0.336,38,3
9.012114139,25 ,52,0.437,28,3
8.345790408,19 ,44,0.474,34,2
8.069796841,4 ,33,1.735,45,3
4,5 ,33,0.658090909,45,2
7.390053785,15 ,39,0.744,41,3
5,5 ,39,0.8,41,3
5,3 ,39,0.8,41,3
8.225705129,32 ,44,0.73,37,2
8.742839528,41 ,46,0.76,37,2
8.817622049,31 ,40,0.739,43,3
9.352913388,31 ,41,0.719,40,2
11,38 ,26,0.695,49,3
17,44 ,33,0.683,45,3
13,31 ,27,0.644,46,3
11.27333928,7 ,18,0.6,48,3
11.63483925,35 ,12,0.627,54,3
12.03729884,16 ,9,0.598,56,3
11,14 ,7,0.58,59,3
12.65757956,4 ,6,0.517,55,3
11.93384282,19 ,7,0.5,56,3
11.75614996,12 ,7,0.486,59,4
11.83661841,21 ,12,0.498,55,5
11.74592708,37 ,22,0.513,53,4
11.61626473,38 ,28,0.534,50,3
11.69329782,39 ,24,0.594,52,3
11.5727626,40 ,22,0.578,51,4
11.52762758,29 ,17,0.561,50,3
11,25 ,28,0.563,44,3
11,29 ,36,0.618,33,3
11.42624409,34 ,33,0.553,36,2
11.46888134,27 ,41,0.586,26,3
11.39955156,27 ,47,0.587,29,3
11.43839132,29 ,48,0.595,29,2
11,29 ,51,0.612,28,2
12,31 ,43,0.557,42,3
12,52 ,42,0.576,37,3
11,40 ,45,0.585,31,3
12,31 ,37,0.587,30,3
11.14383913,22 ,38,0.607,24,4
11,24 ,31,0.586,26,6
11,13 ,41,0.604,19,5
10,13 ,27,0.54,24,4
10.71438391,22 ,21,0.483,28,4
10,18 ,12,0.482,36,4
10,26 ,13,0.493,34,4
11,35 ,17,0.505,30,4
10,43 ,30,0.505,21,3
12.27143839,38 ,43,0.571,17,3
13.08962021,18 ,50,0.575,28,3
11,18 ,84,0.844,15,3
16,27 ,80,0.898,13,4
15,29 ,60,0.721,17,3
19,23 ,73,0.759,14,3
19,26 ,72,0.82,14,3
16.18996547,26 ,32,0.545,45,3
13,23 ,81,0.87,16,3
13,45 ,65,0.716,22,3
15,17 ,43,0.618,44,3
28,44 ,86,0.888,15,3
16,18 ,68,0.786,20,3
17,26 ,67,0.828,18,3
18,23 ,83,0.879,11,3
19,22 ,84,0.938,12,3
14,17 ,49,0.675,27,4
17,27 ,47,0.713,21,3
23,30 ,68,0.856,11,4
23,36 ,62,0.864,15,3
36,40 ,63,0.829,14,4
25,30 ,54,0.711,19,4
29,38 ,45,0.737,24,4
22,68 ,57,0.838,21,4
22,76 ,68,1.025,20,4
19.9,77 ,43,0.723,29,5
18.9,29 ,37,0.687,35,5
11,40 ,32,0.677,39,5
10,22 ,33,0.74,39,5
10,49 ,45,0.662,35,8
11,48 ,38,0.646,43,6
12,67 ,56,0.689,37,8
17,59 ,78,0.702,29,11
15,34 ,83,0.862,23,8
14,18 ,71,0.884,27,10
16,28 ,72,0.757,26,18
20,47 ,65,0.773,23,13
24,51 ,73,0.784,13,10
31,43 ,72,0.951,15,9
40,57 ,64,0.915,15,7
35,41 ,59,0.981,14,9
37,47 ,54,0.93,15,12
32,45 ,48,0.896,15,11
36,47 ,45,1.017,17,9
21,50 ,52,0.748,20,4
16,28 ,52,0.674,19,5
18,39 ,58,0.779,12,4
18,52 ,60,1.06,13,4
14,49 ,53,0.708,13,6
13,106 ,55,0.831,11,3
16,125 ,54,0.939,11,3
12,44 ,54,0.803,16,3
15,73 ,50,0.854,18,4
18,78 ,48,0.887,17,2
11,62 ,30,0.649,25,3
11,26 ,30,0.71,25,4
11,22 ,22,0.604,31,3
13,26 ,32,0.624,22,4
15,17 ,42,0.675,15,3
16,24 ,42,0.644,14,3
14,27 ,41,0.618,13,3
13,27 ,41,0.628,12,3
11,33 ,33,0.568,16,3
12,15 ,36,0.551,14,4
12,20 ,29,0.534,20,3
12,23 ,22,0.509,22,3
12,15 ,19,0.494,22,3
11,12 ,15,0.486,27,3
10,19 ,15,0.486,26,3
11,13 ,15,0.489,24,3
10.9,48 ,19,0.511,24,3
10.99090909,50 ,24,0.577,18,3
10,38 ,30,0.586,19,4
10,20 ,27,0.564,28,3
10,47 ,21,0.579,34,3
11,59 ,27,0.607,33,3
13,34 ,22,0.586,34,3
11,41 ,18,0.57,38,2
10,38 ,19,0.546,35,2
11,25 ,23,0.56,34,2
10,36 ,27,0.562,29,2
11,38 ,31,0.592,28,3
14,45 ,45,0.657,18,4
17,42 ,44,0.68,19,4
16,46 ,45,0.652,20,4
14,52 ,46,0.628,20,4
13,36 ,41,0.584,18,4
11,19 ,34,0.563,20,3
13,20 ,33,0.564,20,3
13,32 ,24,0.56,28,3
12,33 ,20,0.534,31,4
12,21 ,23,0.536,30,4
12,25 ,23,0.524,28,4
12,26 ,20,0.527,30,3
12,30 ,27,0.541,26,3
13,55 ,36,0.596,25,4
13,19 ,37,0.603,25,4
15,37 ,44,0.65,24,6
15,60 ,24,0.642,39,3
17,21 ,33,0.662,36,5
19,35 ,35,0.663,31,9
15,59 ,39,0.617,27,12
13,56 ,29,0.577,35,3
14,46 ,29,0.63,35,4
14,48 ,30,0.574,35,3
16,37 ,38,0.604,30,4
18,56 ,43,0.653,25,3
19,47 ,53,0.659,15,7
19,36 ,51,0.702,18,5
15,27 ,46,0.66,20,4
16,27 ,38,0.655,23,4
17,21 ,41,0.653,20,3
18,46 ,37,0.607,22,4
22,33 ,37,0.733,20,4
18,22 ,38,0.647,22,7
17,28 ,38,0.615,20,8
19,47 ,36,0.659,23,8
19,27 ,33,0.627,22,7
20,36 ,35,0.661,23,9
21,49 ,39,0.704,23,9
19,56 ,37,0.744,25,5
19,53 ,37,0.8,25,5
14,33 ,17,0.565,39,3
13,78 ,13,0.545,41,3
15,37 ,15,0.532,46,3
13,78 ,23,0.507,37,2
10,67 ,32,0.595,35,2
10,29 ,32,0.573,33,3
11,26 ,39,0.662,33,2
12,45 ,53,0.847,26,2
15,66 ,58,0.834,20,2
18,42 ,55,0.805,18,3
20,22 ,56,0.861,14,3
17,19 ,56,0.768,17,8
17,38 ,56,0.748,15,8
16,23 ,49,0.648,14,8
19,23 ,45,0.721,15,6
14,21 ,28,0.63,22,3
11,27 ,19,0.555,32,3
11,58 ,18,0.522,28,2
12,23 ,23,0.614,21,3
12.36363636,29 ,20,0.511,23,3
10,19 ,29,0.571,17,3
11,38 ,39,0.634,15,2
11,53 ,40,0.764,15,3
11,53 ,37,0.69,19,3
10,47 ,19,0.563,19,3
10,30 ,12,0.506,27,3
10,41 ,10,0.494,30,3
10,41 ,11,0.468,33,3
10,22 ,17,0.445,38,3
9,15 ,17,0.5,38,3
9,17 ,16,0.46,36,3
9,17 ,16,0.46,36,3
10,29 ,23,0.49,28,3
13,42 ,26,0.54,26,3
14,50 ,34,0.57,22,3
15,74 ,50,0.619,34,3
13,29 ,44,0.607,33,2
13,20 ,50,0.65,23,3
14,42 ,35,0.63,24,3
15,36 ,29,0.606,26,3
14,15 ,32,0.68,21,3
12,25 ,33,0.673,19,3
13.5,23 ,19,0.498,23,3
13.58333333,38 ,13,0.449,23,3
12.72619048,21 ,12,0.489,22,3
12.22619048,48 ,22,0.594,19,3
11.67063492,50 ,20,0.533,23,3
11.37063492,33 ,29,0.583,24,5
11.18881674,41 ,29,0.602,25,6
7,26 ,29,0.66,25,6
10,101 ,26,0.561,27,5
10,12 ,32,0.608,24,4
11,58 ,31,0.641,23,4
10,41 ,31,0.614,23,5
11.19898334,18 ,22,0.555,24,4
10,29 ,25,0.591,22,4
14,39 ,29,0.643,19,3
15,34 ,37,0.663,16,4
12,30 ,38,0.646,14,4
13,32 ,34,0.727,15,4
13,20 ,34,0.729,17,4
12,20 ,34,0.706,16,7
13,26 ,31,0.587,14,5
12,51 ,27,0.492,15,5
12.5,15 ,18,0.477,21,4
12.58333333,15 ,15,0.479,21,3
12.1547619,12 ,17,0.474,19,3
11.7797619,22 ,14,0.453,20,3
11.55753968,22 ,19,0.507,16,4
11.55753968,45 ,20,0.521,19,4
11.51329365,60 ,28,0.675,17,3
10,26 ,28,0.595,16,4
10,61 ,27,0.628,18,4
10,37 ,27,0.68,18,4
13,70 ,28,0.606,21,6
11.60708333,50 ,17,0.515,31,3
11.82912518,54 ,16,0.504,44,3
11,35 ,23,0.481,40,2
11,72 ,21,0.494,34,3
12,32 ,23,0.51,32,3
16,48 ,32,0.583,24,3
14,41 ,36,0.575,27,2
13,31 ,37,0.64,27,3
11,47 ,55,0.624,33,2
12,19 ,80,0.639,18,3
13,15 ,73,0.684,20,3
16,62 ,72,0.775,18,2
20,40 ,69,0.839,17,3
23,42 ,67,0.947,19,3
25,43 ,59,0.98,21,3
27,73 ,47,0.84,20,3
19,63 ,42,0.843,21,3
11,59 ,30,0.614,17,3
17.8,62 ,30,0.638,17,5
17.52727273,44 ,30,0.601,17,8
10,58 ,27,0.582,21,7
12,23 ,23,0.713,37,4
13,63 ,25,0.632,40,5
18,102 ,43,0.695,28,3
17,104 ,51,0.709,19,3
18,140 ,62,0.749,28,3
12,62 ,37,0.6,40,2
17.72727273,26 ,57,0.618,34,2
13,26 ,90,0.799,16,3
13,44 ,92,0.868,12,2
21,30 ,92,0.994,13,3
27,69 ,88,1.239,13,3
31,53 ,85,1.198,16,3
44,107 ,88,1.337,20,3
55,86 ,86,1.192,23,4
47,59 ,80,0.992,22,3
42,59 ,63,1.031,18,3
41,59 ,58,1.036,20,3
31,52 ,57,0.93,19,3
16,35 ,55,0.712,11,3
15,49 ,48,0.672,19,3
26.25,22 ,44,0.583,22,3
22.13888889,48 ,46,0.63,23,3
12,41 ,40,0.572,28,2
16.48765432,46 ,47,0.598,21,4
14.08765432,28 ,30,0.573,26,3
6,18 ,30,0.63,27,3
10,61 ,35,0.605,25,13
10,55 ,26,0.552,27,8
10.95281207,48 ,11,0.491,34,3
7,34 ,11,0.55,34,3
10.30404664,53 ,21,0.475,30,4
9.932441701,23 ,22,0.52,28,3
10,16 ,23,0.54,26,2
13,55 ,26,0.582,23,3
11,62 ,22,0.558,25,3
11,58 ,25,0.545,23,3
10,38 ,20,0.507,28,3
10.82207362,12 ,16,0.479,29,3
10.9703456,30 ,9,0.473,31,3
11.13206987,17 ,9,0.46,33,3
10.82074818,27 ,7,0.456,36,3
10.79087288,35 ,7,0.439,41,3
10.75601836,57 ,9,0.45,37,3
10.47030407,17 ,8,0.445,38,2
10.11754487,45 ,11,0.447,31,3
10.23195091,62 ,20,0.486,31,3
10.21874393,34 ,22,0.529,27,2
10.32594864,68 ,22,0.524,28,2
8,41 ,18,1.251,33,3
8,11 ,18,2.61,34,3
12,30 ,20,0.466,33,3
11,20 ,25,0.494,31,5
12,67 ,27,0.522,27,3
12,38 ,28,0.538,24,3
12,28 ,36,0.571,22,3
13,39 ,40,0.627,17,3
13,24 ,59,0.671,31,3
20,58 ,88,0.792,23,3
28,52 ,94,0.95,15,4
33,81 ,91,1.027,19,3
34,73 ,86,1.157,20,3
35,79 ,76,1.194,18,3
34,79 ,66,1.139,18,3
19,117 ,50,0.755,20,4
11,58 ,39,0.558,17,3
12,32 ,33,0.6,18,3
8,39 ,22,0.45,23,3
9,22 ,33,0.56,19,3
10,29 ,36,0.637,21,3
12,42 ,42,0.82,17,3
12,60 ,49,0.864,14,3
11,46 ,49,0.72,21,3
12,48 ,51,0.798,14,3
13,26 ,50,0.83,15,3
13,26 ,50,0.83,15,3
14,20 ,51,0.79,25,2
13,42 ,59,0.808,20,3
13,46 ,53,0.767,20,2
16,46 ,53,0.85,19,3
20,55 ,62,1.091,19,4
50,67 ,90,1.397,28,4
53,60 ,86,1.28,23,7
31,61 ,69,0.933,17,9
15,20 ,50,0.66,17,5
12,21 ,34,0.567,25,4
10,31 ,18,0.467,30,3
9,12 ,11,0.444,37,3
10,10 ,12,0.46,37,4
7,8 ,9,0.404,37,3
7,14 ,11,0.399,34,4
7,12 ,11,0.394,31,4
8,21 ,11,0.404,33,4
10,31 ,15,0.415,27,4
12,43 ,24,0.47,23,5
11,45 ,21,0.505,23,4
10,51 ,19,0.543,28,3
10,48 ,19,0.562,33,3
11,36 ,23,0.614,34,3
10,55 ,24,0.613,32,3
5,40 ,15,0.501,31,3
10,119 ,28,0.556,41,4
6,22 ,16,0.475,36,4
5,32 ,16,0.428,30,4
5,31 ,15,0.406,30,4
6,40 ,21,0.436,26,3
10,53 ,28,0.544,22,3
11,34 ,47,0.73,16,5
11,26 ,48,0.726,14,9
9,48 ,40,0.622,15,8
10,29 ,26,0.564,17,5
13,22 ,16,0.527,27,4
